artist_id,artist_type
23d8426c-18c7-46e6-a51d-7395bd43c641,Group
c3cceeed-3332-4cf0-8c4c-bbde425147b6,Group
c3bc80a6-1f4a-4e17-8cf0-6b1efe8302f1,Group
f2fb0ff0-5679-42ec-a55c-15109ce6e320,Group
60955940-d401-4f4a-8a9b-43c870454aac,Group
5700dcd4-c139-4f31-aa3e-6382b9af9032,Group
83e59f23-3b0b-4304-834d-5bcafd5df6d2,Group
b2d122f9-eadb-4930-a196-8f221eeb0c66,Group
b4ce8f8f-72f9-48f0-92be-606095d4b6e0,Person
765774a0-2060-469b-8b7d-612eea48579b,Group
8d3c6a3c-4d97-455c-ad07-3fefc0172861,Person
5403bf6e-bc1d-4e62-b31f-926a2bf66a14,Group
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,Group
350df790-01d6-4459-8d0f-26abdd440b0e,Group
c1b620ee-6540-42ba-90df-f0740d42cbbf,Group
456eabce-d1dd-4481-a206-36ab4f2eaeb8,Person
50ceff2e-e963-4fca-a835-60a7c9d99418,Group
b3a70929-32bc-4ace-994f-434b26ce96fe,Group
87f8339a-625e-4912-939e-8b62836c159d,Group
41f4d85a-0bd7-4602-a3e3-8c47f36efb0a,Group
eea85c38-427d-438a-8c59-6036e1c05d0e,Person
39822e8d-f24e-4f07-b51b-28b22e59fbdb,Group
13501c7d-d181-45ba-af52-5f101d8516a0,Group
f1d1df24-91af-4d27-83a4-9b4ad29b37eb,Group
2e710b0c-6ff3-4c21-87d5-16ebbbca212c,Person
6dfa03fb-8b02-4055-b7cc-e48f426b13f8,Group
88735355-f98f-44ea-8a40-7a8bcc56f07e,Person
3058822f-8e58-4427-820a-8f7a279887c1,Person
9502f466-be41-4450-8752-74c2d44ad2f7,Person
31aa6f87-8d00-4ae9-a5cc-6d7eeea109d2,Group
70261540-4efc-4f62-8573-fdb68d6c2213,Group
7717539b-33aa-45d5-b88d-9e627172db19,Group
8de149a4-bbdc-4d15-aeea-0d66773c9f80,Group
37c61bf2-5fb1-47ae-9605-80025d956958,Person
f3e5d65a-0510-4dd2-8bfb-0d06e86b6035,Group
db005731-6c46-4e7d-83e3-21f80189884a,Group
8cf95123-5023-4257-933e-4d7ebbc5d8a2,Group
d3201290-2791-4b2c-9d79-62eb6240e742,Group
780fcd1f-9808-4da6-aad8-2858884dd7df,Group
2d0d2823-d918-4fa4-a109-ee32f52b2629,Group
2e433b57-1e40-4a8f-b38d-7675fda5698a,Person
a9b88ebb-83aa-4ef7-b674-fabeb572c14e,Group
ace6f889-2d53-4b93-bf70-cbfc4fe0d256,Group
6082f427-055a-4b27-819f-06f17fd1bda9,Group
666fd16d-d9f9-4eff-80ed-a064d5bbca7c,Group
be28f50e-2d75-4fb2-95c3-371fda5c2667,Group
e4d32f51-bc57-42a4-8165-b80f7a86496d,Person
20183e32-6bb7-4855-b46d-10e2af0d85ce,Group
38bfaa7f-ee98-48cb-acd0-946d7aeecd76,Person
8ebd50fe-f263-4fd6-9c24-de587585ef77,Group
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Group
b071f9fa-14b0-4217-8e97-eb41da73f598,Group
678d88b2-87b0-403b-b63d-5da7465aecc3,Group
0383dadf-2a4e-4d10-a46a-e9e041da8eb3,Group
a74b1b7f-71a5-4011-9441-d0b5e4122711,Group
618b6900-0618-4f1e-b835-bccb17f84294,Person
9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa,Group
8e3fcd7d-bda1-4ca0-b987-b8528d2ee74e,Group
1932f5b6-0b7b-4050-b1df-833ca89e5f44,Group
8538e728-ca0b-4321-b7e5-cff6565dd4c0,Group
b83bc61f-8451-4a5d-8b8e-7e9ed295e822,Person
69ee3720-a7cb-4402-b48d-a02c366f2bcf,Group
bd13909f-1c29-4c27-a874-d4aaf27c5b1a,Group
17b53d9f-5c63-4a09-a593-dde4608e0db9,Group
4d5447d7-c61c-4120-ba1b-d7f471d385b9,Person
79491354-3d83-40e3-9d8e-7592d58d790a,Group
5a28f8c2-31fb-4047-ae57-c5c326989262,Group
ba550d0e-adac-4864-b88b-407cab5e76af,Person
ece57992-dc2e-4f67-a269-fa43626c1a3d,Group
b38225b8-8e5f-42aa-bcdc-7bae5b5bdab3,Group
1884ed9c-6fe1-468d-a7f8-8d19c9c4e441,Group
c1d4f2ba-cf39-460c-9528-6b827d3417a1,Group
a35237a0-4f47-40a6-b6f3-1e786db23402,Person
c842d29f-a297-48cd-bb71-4f77fd672b16,Group
c7cf4584-bfb1-4cf5-be41-aef384310bbb,Group
39ab1aed-75e0-4140-bd47-540276886b60,Group
ca891d65-d9b0-4258-89f7-e6ba29d83767,Group
f1548c5b-329e-4036-921c-02213a04b525,Group
8e66ea2b-b57b-47d9-8df0-df4630aeb8e5,Person
b5c2fdfc-d037-45b8-84f9-09ebb7ff8aa1,Person
57961a97-3796-4bf7-9f02-a985a8979ae9,Group
5182c1d9-c7d2-4dad-afa0-ccfeada921a8,Group
bf0f7e29-dfe1-416c-b5c6-f9ebc19ea810,Group
d5da1841-9bc8-4813-9f89-11098090148e,Group
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Group
