product_id,segment,week,price,units,competitor_price,promo,holiday,traffic
0,grocery,0,26.0419,489,27.4507,0,1,1878.134
0,grocery,1,27.5421,234,27.1577,0,0,1217.829
0,grocery,2,22.669,269,23.408,0,0,1142.78
0,grocery,3,27.1214,178,22.6817,0,0,1021.335
0,grocery,4,27.1648,191,25.4099,0,0,1078.983
0,grocery,5,31.2199,163,30.2138,0,0,1117.034
0,grocery,6,20.5928,591,26.6428,1,0,1215.567
0,grocery,7,27.6023,219,25.4231,0,0,1065.394
0,grocery,8,29.0745,168,25.7798,0,0,1081.318
0,grocery,9,26.1114,214,28.4311,0,0,1077.516
0,grocery,10,30.624,164,27.1744,0,0,1212.921
0,grocery,11,17.9646,445,22.2555,1,0,808.54
0,grocery,12,25.0782,255,27.9333,0,0,1181.431
0,grocery,13,90.6171,32,25.3873,0,1,1509.012
0,grocery,14,29.661,150,29.8439,0,0,966.523
0,grocery,15,26.5169,231,24.2436,0,0,1293.772
0,grocery,16,23.9843,278,26.7539,0,0,1268.281
0,grocery,17,27.2749,138,26.2898,0,0,892.247
0,grocery,18,28.1883,183,22.8898,0,0,1063.426
0,grocery,19,27.4486,185,28.7819,0,0,1011.95
0,grocery,20,19.4293,460,27.143,1,0,1026.959
0,grocery,21,20.4854,551,29.5722,1,0,1162.025
0,grocery,22,26.8725,223,29.9325,0,0,1242.905
0,grocery,23,29.7059,175,30.2655,0,0,1454.446
0,grocery,24,24.6228,192,30.1426,0,0,857.447
0,grocery,25,27.3585,132,22.727,0,0,1070.125
0,grocery,26,28.384,268,25.1839,0,1,1322.323
0,grocery,27,21.1463,440,23.0586,1,0,1253.525
0,grocery,28,29.3559,140,27.5196,0,0,1050.395
0,grocery,29,22.3828,226,25.1002,0,0,1013.345
0,grocery,30,30.5155,117,27.4107,0,0,1088.45
0,grocery,31,24.5543,244,25.1049,0,0,1292.852
0,grocery,32,32.3745,127,25.7785,0,0,1231.869
0,grocery,33,27.481,174,26.3865,0,0,1068.264
0,grocery,34,25.7813,213,21.9148,0,0,1388.383
0,grocery,35,27.8469,154,26.5955,0,0,1106.188
0,grocery,36,25.5765,199,28.9617,0,0,1108.388
0,grocery,37,26.2042,157,26.5399,0,0,1115.4
0,grocery,38,25.232,189,23.1119,0,0,1379.112
0,grocery,39,27.2477,356,28.8031,0,1,2078.349
0,grocery,40,18.0436,568,31.7767,1,0,957.869
0,grocery,41,25.6841,153,25.1956,0,0,1104.1
0,grocery,42,25.9133,173,26.59,0,0,1133.083
0,grocery,43,27.0254,223,34.113,0,0,1199.098
0,grocery,44,29.2476,108,22.1973,0,0,1037.768
0,grocery,45,18.9075,490,27.0704,1,0,1068.499
0,grocery,46,30.3088,133,25.7462,0,0,1185.248
0,grocery,47,26.737,144,30.7343,0,0,846.034
0,grocery,48,30.2075,106,23.5604,0,0,954.24
0,grocery,49,28.9328,132,26.0268,0,0,1049.609
0,grocery,50,25.545,120,22.3005,0,0,1035.976
0,grocery,51,24.5516,146,25.7925,0,0,1089.094
0,grocery,52,23.956,301,30.2991,0,1,1221.208
0,grocery,53,25.877,155,24.8186,0,0,1162.705
0,grocery,54,28.9478,112,23.9238,0,0,1080.543
0,grocery,55,22.9424,137,23.9363,0,0,836.792
0,grocery,56,24.4436,154,23.7987,0,0,1161.472
0,grocery,57,28.4586,101,22.4457,0,0,914.803
0,grocery,58,27.1688,158,27.4162,0,0,1460.833
0,grocery,59,24.6303,195,29.8089,0,0,1240.892
1,grocery,0,23.9397,137,20.8479,0,1,640.365
1,grocery,1,14.8322,308,20.5788,1,0,570.705
1,grocery,2,21.491,107,26.9912,0,0,561.695
1,grocery,3,21.4481,114,23.2019,0,0,564.489
1,grocery,4,21.0684,99,22.1884,0,0,572.975
1,grocery,5,20.9485,97,21.8125,0,0,586.49
1,grocery,6,21.0002,316,21.8129,0,0,2093.691
1,grocery,7,22.7994,110,22.7999,0,0,594.644
1,grocery,8,16.5187,343,23.0127,1,0,683.296
1,grocery,9,21.2589,88,22.5733,0,0,458.372
1,grocery,10,22.1669,459,26.1222,0,0,2919.995
1,grocery,11,21.8134,83,19.6645,0,0,568.554
1,grocery,12,20.917,68,19.1287,0,0,448.356
1,grocery,13,19.7881,232,20.7245,0,1,918.347
1,grocery,14,16.3702,154,23.0274,0,0,635.128
1,grocery,15,23.3406,85,21.4705,0,0,656.842
1,grocery,16,24.6758,77,25.7343,0,0,495.967
1,grocery,17,22.3134,84,17.9719,0,0,670.001
1,grocery,18,21.0627,74,19.3386,0,0,504.409
1,grocery,19,20.8296,91,22.1349,0,0,657.788
1,grocery,20,75.8365,8,25.933,0,0,562.754
1,grocery,21,18.2996,102,23.3677,0,0,511.706
1,grocery,22,22.6775,76,20.6579,0,0,491.688
1,grocery,23,21.1012,74,17.8147,0,0,490.746
1,grocery,24,17.3748,202,20.9775,1,0,542.694
1,grocery,25,26.1519,84,23.0904,0,0,635.334
1,grocery,26,20.8504,156,22.548,0,1,718.217
1,grocery,27,24.3662,84,24.6523,0,0,771.613
