id,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
1,23.18,27.272,426.0,721.25,0.0047929881765052,1
2,23.15,27.2675,429.5,714.0,0.0047834409493106,1
3,23.15,27.245,426.0,713.5,0.0047794635244219,1
4,23.15,27.2,426.0,708.25,0.0047715088260817,1
5,23.1,27.2,426.0,704.5,0.0047569929333151,1
6,23.1,27.2,419.0,701.0,0.0047569929333151,1
7,23.1,27.2,419.0,701.666666666667,0.0047569929333151,1
8,23.1,27.2,419.0,699.0,0.0047569929333151,1
9,23.1,27.2,419.0,689.333333333333,0.0047569929333151,1
10,23.075,27.175,419.0,688.0,0.0047453507196665,1
11,23.075,27.15,419.0,690.25,0.0047409518969426,1
12,23.1,27.1,419.0,691.0,0.0047393707305206,1
13,23.1,27.1666666666667,419.0,683.5,0.0047511187556095,1
14,23.05,27.15,419.0,687.5,0.0047337317970825,1
15,23.0,27.125,419.0,686.0,0.0047149421459047,1
16,23.0,27.125,418.5,680.5,0.0047149421459047,1
17,23.0,27.2,0.0,681.5,0.0047280779496687,0
18,22.945,27.29,0.0,685.0,0.0047279513717807,0
19,22.945,27.39,0.0,685.0,0.0047454083970941,0
20,22.89,27.39,0.0,689.0,0.00472950615591,0
21,22.89,27.39,0.0,689.5,0.00472950615591,0
22,22.89,27.39,0.0,689.0,0.00472950615591,0
23,22.89,27.445,0.0,691.0,0.0047390755147466,0
24,22.89,27.5,0.0,688.0,0.0047486451658114,0
25,22.89,27.5,0.0,689.5,0.0047486451658114,0
26,22.79,27.445,0.0,689.0,0.0047102240468062,0
27,22.79,27.5,0.0,685.666666666667,0.0047197349991495,0
28,22.79,27.5,0.0,687.0,0.0047197349991495,0
29,22.79,27.5,0.0,688.0,0.0047197349991495,0
30,22.745,27.5,0.0,670.0,0.0047067761580489,0
31,22.7,27.4633333333333,0.0,668.666666666667,0.0046875430838439,0
32,22.7,27.5,0.0,670.0,0.0046938487141081,0
33,22.7,27.5,0.0,667.0,0.0046938487141081,0
34,22.6666666666667,27.4266666666667,0.0,664.5,0.0046717077646175,0
35,22.7,27.6,0.0,670.0,0.0047110465325231,0
36,22.6,27.4266666666667,0.0,670.333333333333,0.0046526994586977,0
37,22.6,27.39,0.0,672.0,0.0046464328065348,0
38,22.6,27.3566666666667,0.0,658.0,0.0046407359587843,0
39,22.6,27.445,0.0,660.5,0.0046558328317807,0
40,22.6,27.4266666666667,0.0,658.0,0.0046526994586977,0
41,22.6,27.445,0.0,655.0,0.0046558328317807,0
42,22.6,27.445,0.0,654.25,0.0046558328317807,0
43,22.6,27.39,0.0,648.0,0.0046464328065348,0
44,22.5,27.3233333333333,0.0,648.666666666667,0.0046067632029783,0
45,22.5,27.445,0.0,646.0,0.004627429032145,0
46,22.5,27.5,0.0,646.0,0.0046367715666975,0
47,22.5,27.445,0.0,641.5,0.004627429032145,0
48,22.39,27.29,0.0,639.0,0.0045702120879911,0
49,22.5,27.5,0.0,640.0,0.0046367715666975,0
50,22.39,27.34,0.0,630.5,0.0045786471451397,0
51,22.39,27.3566666666667,0.0,629.333333333333,0.0045814588813251,0
52,22.39,27.5,0.0,632.0,0.0046056408542605,0
53,22.39,27.5,0.0,636.5,0.0046056408542605,0
54,22.39,27.5,0.0,627.5,0.0046056408542605,0
55,22.39,27.39,0.0,626.0,0.0045870824294015,0
56,22.39,27.5,0.0,625.5,0.0046056408542605,0
57,22.34,27.39,0.0,623.5,0.0045730503494798,0
58,22.39,27.4633333333333,0.0,624.666666666667,0.0045994545904935,0
59,22.39,27.39,0.0,622.0,0.0045870824294015,0
60,22.29,27.39,0.0,621.0,0.0045590561485227,0
61,22.34,27.39,0.0,626.5,0.0045730503494798,0
62,22.29,27.39,0.0,622.0,0.0045590561485227,0
63,22.39,27.39,0.0,620.0,0.0045870824294015,0
64,22.29,27.39,0.0,621.5,0.0045590561485227,0
65,22.29,27.3566666666667,0.0,616.333333333333,0.0045534672090426,0
66,22.29,27.34,0.0,609.0,0.0045506727766926,0
67,22.29,27.39,0.0,614.0,0.0045590561485227,0
68,22.29,27.34,0.0,613.5,0.0045506727766926,0
69,22.29,27.34,0.0,611.0,0.0045506727766926,0
70,22.29,27.39,0.0,612.0,0.0045590561485227,0
71,22.29,27.29,0.0,608.0,0.0045422896291988,0
72,22.29,27.29,0.0,605.5,0.0045422896291988,0
73,22.2675,27.315,0.0,608.5,0.0045402135802302,0
74,22.2,27.29,0.0,608.5,0.0045172881934999,0
75,22.245,27.29,0.0,602.5,0.0045297736958595,0
76,22.2,27.29,0.0,598.0,0.0045172881934999,0
77,22.2,27.29,0.0,595.0,0.0045172881934999,0
78,22.2,27.29,0.0,591.0,0.0045172881934999,0
79,22.245,27.245,0.0,591.0,0.0045222499936474,0
80,22.2,27.2,0.0,595.0,0.0045022827427646,0
81,22.2,27.29,0.0,594.333333333333,0.0045172881934999,0
82,22.2,27.29,0.0,593.5,0.0045172881934999,0
83,22.2,27.29,0.0,592.0,0.0045172881934999,0
84,22.15,27.245,0.0,586.5,0.0044959713579516,0
85,22.2,27.2,0.0,586.0,0.0045022827427646,0
86,22.15,27.245,0.0,586.0,0.0044959713579516,0
87,22.2,27.245,0.0,584.5,0.0045097853782839,0
88,22.1,27.245,0.0,584.5,0.0044821946765548,0
89,22.1,27.2,0.0,585.5,0.0044747382697237,0
90,22.1333333333333,27.2,0.0,584.666666666667,0.0044839031982145,0
91,22.2,27.2,0.0,577.0,0.0045022827427646,0
92,22.1,27.2,0.0,580.0,0.0044747382697237,0
93,22.125,27.2,0.0,582.0,0.0044816104151714,0
