artist_id,tag_id
23d8426c-18c7-46e6-a51d-7395bd43c641,ambient
23d8426c-18c7-46e6-a51d-7395bd43c641,classic pop and rock
23d8426c-18c7-46e6-a51d-7395bd43c641,electronic
23d8426c-18c7-46e6-a51d-7395bd43c641,film score
23d8426c-18c7-46e6-a51d-7395bd43c641,iswcs pending
23d8426c-18c7-46e6-a51d-7395bd43c641,kosmische
23d8426c-18c7-46e6-a51d-7395bd43c641,kosmische musik
23d8426c-18c7-46e6-a51d-7395bd43c641,krautrock
23d8426c-18c7-46e6-a51d-7395bd43c641,lily
23d8426c-18c7-46e6-a51d-7395bd43c641,new age
23d8426c-18c7-46e6-a51d-7395bd43c641,new-age
23d8426c-18c7-46e6-a51d-7395bd43c641,progressive electronic
23d8426c-18c7-46e6-a51d-7395bd43c641,progressive rock
23d8426c-18c7-46e6-a51d-7395bd43c641,rock
23d8426c-18c7-46e6-a51d-7395bd43c641,synthesizer
c3cceeed-3332-4cf0-8c4c-bbde425147b6,70's
c3cceeed-3332-4cf0-8c4c-bbde425147b6,70s
c3cceeed-3332-4cf0-8c4c-bbde425147b6,80's
c3cceeed-3332-4cf0-8c4c-bbde425147b6,80s
c3cceeed-3332-4cf0-8c4c-bbde425147b6,acoustic rock
c3cceeed-3332-4cf0-8c4c-bbde425147b6,aln-sh
c3cceeed-3332-4cf0-8c4c-bbde425147b6,aor
c3cceeed-3332-4cf0-8c4c-bbde425147b6,classic rock
c3cceeed-3332-4cf0-8c4c-bbde425147b6,glam metal
c3cceeed-3332-4cf0-8c4c-bbde425147b6,hairmetal
c3cceeed-3332-4cf0-8c4c-bbde425147b6,hard rock
c3cceeed-3332-4cf0-8c4c-bbde425147b6,heavy metal
c3cceeed-3332-4cf0-8c4c-bbde425147b6,krautrock
c3cceeed-3332-4cf0-8c4c-bbde425147b6,loriel
c3cceeed-3332-4cf0-8c4c-bbde425147b6,metal
c3cceeed-3332-4cf0-8c4c-bbde425147b6,pop rock
c3cceeed-3332-4cf0-8c4c-bbde425147b6,power metal
c3cceeed-3332-4cf0-8c4c-bbde425147b6,progressive rock
c3cceeed-3332-4cf0-8c4c-bbde425147b6,rock
c3bc80a6-1f4a-4e17-8cf0-6b1efe8302f1,acoustic rock
c3bc80a6-1f4a-4e17-8cf0-6b1efe8302f1,hard rock
c3bc80a6-1f4a-4e17-8cf0-6b1efe8302f1,n
c3bc80a6-1f4a-4e17-8cf0-6b1efe8302f1,pop punk
c3bc80a6-1f4a-4e17-8cf0-6b1efe8302f1,pop rock
c3bc80a6-1f4a-4e17-8cf0-6b1efe8302f1,punk
c3bc80a6-1f4a-4e17-8cf0-6b1efe8302f1,punk rock
