vid,x,y,z
0,9000000000000000000,9000000000000000000,9000000000000000000
1,0,0,9000000000000000000
2,8926306607877241511,5297513042401982988,7335637750855903853
3,1530697260399407462,4597353508637087907,8344852784187543708
4,4105465083184520852,3530998498882859659,6679526437141690962
5,4802422969171906603,8115461835615012828,7490849287845830395
6,5810860956574122945,1263206208877111634,5216661796997394947
7,8680443166290800692,4171793372997550875,859570008570064114
8,3443254674136591230,691967831162394835,6930212167585603748
9,7457626878500626762,1075176670906831638,3813332046864657686
10,4749064942089584165,7357030238620111836,868042008218352795
11,207163088084888472,6995213026079645783,3487194942588234392
12,5987122657274547744,8280745004178888803,1053175167823649149
13,6406361128482775840,8353373643411160451,7106881892196174127
14,1710846563516502760,6853969164524070009,3274880674344287670
15,7349747109343433093,7057399086079805651,7409151310093201515
16,1306429651779273702,2155541522153517571,1141273807236195531
17,2939867974744290709,2660111929361000444,362820544700540571
18,4522350228382513345,8582222855206437507,4356860570855808503
19,2444407226455133944,7554665664932033105,1400231375212897565
20,635863934712257137,4551186734910896226,2479718906223717082
21,6169701269256675638,3940630621241857372,139843415351135922
22,5605127023003502705,5641773388990122674,3106421428592432710
23,1808438104369296389,4731930411781224561,4518862813792812305
24,7469357149693001106,4585726637463546120,2783006132738459751
25,5021768862631545257,5868858470649490841,681237476906471143
26,542201892448082253,6290836747650758750,8571494403149708836
27,6149188697193908073,7603347178192514830,8003019426024498932
28,6514777128709856133,474829537273325092,118197665250136216
29,1714744066660347891,3044565951003669591,6365554747379840716
30,748429587520786912,2528344415130485553,4448153590341075634
31,149592870681713296,5111591063876760103,5716508747072996068
32,2833138317989639668,3022743259483059710,2079954160807255707
33,4029226641865971692,6902544168045820568,3141298430066503595
34,3378395493733809429,2222095685789349492,3396436773200549261
35,7935266107347087086,6274032059282735497,1530718919021714780
36,1265328518468622788,6181372529703731918,7666658669808758774
37,452518972314959091,6616749836847446976,2314747130487911258
38,5955068189963475179,8216285453992197439,4049884106751410655
39,2717132202969900060,6789565187590155323,2470069420696066108
40,7509823811626588733,5729828786818096103,7274903491339365451
41,6354779922347765154,3212089940666263353,550326332931782034
42,1892832820078242142,6006496060188649386,4177597933028252588
43,6708924529938451121,5621416419771970906,3397530274167723059
44,8163774091913343881,1962549577100819477,5969608058321605190
45,4705157487272464048,966614633508549205,4473897254973055424
46,5354794274477750178,486872151344577684,6913925168907021086
47,6399878050108187034,4911674851055973991,8065986076033227375
48,2421447003462522069,4907506711924593878,7876343770546319123
49,6875449082585447404,1822815066828297003,6424525068741233246
50,8099977078593430483,8675474050062876688,2365019558138542770
51,7530059995023891540,6358424037412620406,2537225049960695494
52,814723603935858641,7444134742437279057,3882493063421668506
53,367517317676765434,3870531474523959244,5203488519789563097
54,7535475343882189293,8343452051341049022,3159321730477990163
55,3871896506174783374,5706795303561406349,8385016464270360596
56,5325552684943192343,66861571951247138,4838552495375356534
57,1025080820380137824,5394900500701288516,3478715314609088687
58,8246045214595538959,3597389278043675025,7249311434587451564
59,2225120275126893127,6984476747923349255,4678712968136938872
60,2956779248108208910,6963813117562823768,5706461872338255285
61,4398162473103680917,4168985275595563409,708972721092489151
62,8126559261406300709,5255477205664631741,3803710266586508555
63,2210979428808546838,8440489025412515338,4034927905392181093
64,2993245511180923243,8388877943895045651,7644914589660928101
65,6477273390287930170,5137633052362536945,6363470938595697079
66,2590778312709284876,6611268646130852613,4783960897592557603
67,6675782029577945025,8265481913306624903,6725170258118201333
68,6023405461189557082,8432765282461595253,8466620345967437869
69,4009518096270814216,832433984120602813,3726114875965091133
70,6791814229719343255,720552557575873444,1211541365032157159
71,1721013257629389131,8930726995796052751,8217410806555956874
72,5653518629975100263,7023695472328776981,3162328948086752019
73,555978648677355683,3485077234503976241,2739807370973774660
74,1563598714366054455,7823319338336966398,5185890196934604539
75,7572090527277063106,8228941944358338295,6899482258787112409
76,7161414474517877699,5576625318181691860,4402059313415599058
77,6651759751020057278,1248941884212104917,6856638696383741012
78,6174609302129288161,8659548225127636527,7078426000741796006
79,4930880088411569337,8302143652551532460,2137592722456206574
80,8410877477882275477,6949549906457551112,968852385267334709
81,2736021190212776489,847521453438727229,8141467320567781509
82,8985376709144584944,4198608963298045444,8109009021753407605
83,2179548332406131691,7778132156981428193,1699363427963415570
84,2240709414507332475,6748918290173291968,2253351361947991811
85,4402891432074424642,4517151286871361274,6286212416646061480
86,7928240370383992848,4172887873923918669,4913981266812488615
87,7017875069017958747,7036417574552035610,4483475015806645931
88,2235797079552601299,2666915390788130141,6656947961629042559
89,8919176352644067878,3093002027728254072,7446307416050770406
90,2891568490718729419,5223013855813219102,774416434098272126
91,4015776472332125003,3238430481163420488,4833327330135639796
92,6277206683203641768,3035381589819575983,2436713926632321712
93,5924691766464025642,384366826186813317,3385392822474815707
94,4063428203108923222,1652630260651039264,1676508441829732017
95,7343946846088671010,6144439387729025222,2934203791473968686
96,7867704658564979634,3768810654975308713,3900760404814020660
97,8298916035306946184,3029902777253996376,5954568840838639200
98,3744409150717200402,7260893065732153802,2172243976871304388
99,2945371427841301896,1323590362165788985,8434734829829630348
