vid,x,y,z
0,9000000000000000000,9000000000000000000,9000000000000000000
1,0,0,9000000000000000000
2,382691620112339791,6291757800428221911,5234442781354428511
3,3688519611018858993,3966466102976383996,4703607822440867574
4,5812493948039527884,84917479409589408,2991197805289242661
5,1672244272423614154,2271714388263451586,3014360032676887436
6,8206787151567647349,8599723986020154352,3216857395135306117
7,1456043148243081091,5785309105119400876,1335793879869356457
8,6912487289939188395,8753554776092812276,6235648907435140665
9,2264469636247922224,5495249222316072417,6385282759655145099
10,6564358261755037545,2530378433392996892,2567410485430274125
11,2549769100885466776,177347139091990038,1067882430300440369
12,4287799290647609956,3220507840564882491,7552216853425340285
13,3525489765421142683,2583698992073134751,568011923766332287
14,4223535735128003445,3329536117956389361,7377097102313944687
15,8485284897641033035,3084712325295872246,6772695862880803846
16,724273013583216543,3996666336036787640,8469063427687132272
17,1766285810507194712,19693212117720320,6277377404551547324
18,3245073015528143381,4997401948168723775,6408524485600718153
19,2246887950407457917,5337132158643112155,2374214669446289169
20,6077864151481579883,5133049513587466596,2922380729366846513
21,7870764244848901330,1918143281272943471,1104814854801899834
22,4984549469601595110,5928140614248757028,4651420476131033678
23,5584775918069323251,8356864324826555326,3604305552873261360
24,8011738599642287526,3098032332120528492,2017098918094394724
25,5395846782568733162,3058341149263719240,689016957115092551
26,7255979842677012166,7973574415208299806,5524775163343101549
27,8116689498912250611,229979489192037846,5912805989410566865
28,2777532531269126069,1698665951255226877,2395967420635720918
29,7870467021672731787,4066505078895177899,6438280197432118906
30,813838883390985313,7191895806371535263,336535374626140071
31,8136139187437019560,1635279196002148251,8920100790962337117
32,1304474629360934997,7215217579257656776,225805043741452141
33,3982584658998579464,5393215208972192881,7770578961605962945
34,218118912432082528,1306187170685556624,8841027707733262494
35,4526906606314672781,8174751602291415279,5272166443178858640
36,7195749010014407162,1381581940007917552,2095133554659358550
37,6236530979239083537,326297602442062329,5439889617188307653
38,3853214051131196379,6818399569177560408,1987443165856932946
39,1421822863694072034,5171239547704377626,8353128985570089823
40,1852311552590867497,8688559040456541763,4473535670795544099
41,77045023287830372,5200834655657842045,4918586427000928273
42,2813242330853819346,3297161505647647252,2873084319875631094
43,7564695525940033404,6153485698228906409,3790163122825238199
44,3252571321771996284,5083714328453911430,7883323069384675551
45,2420820040549858326,6137812476289698514,6299410397409631828
46,5643826537246731189,8946363424484118630,8671396703640259787
47,5014473490216412953,4163049556185637746,6127744716005214711
48,163541310262369626,8748946167722743797,7338820962090839600
49,1434665816159472656,4569932037438589063,6423554564437144324
50,366545346863400355,8899603839843457548,1109216869925046005
51,6744661762028270000,4206416711162426639,8884316118883281445
52,113370042445121608,2562564245234759814,1008704663836028079
53,3130552662027643391,3001139927944677215,4452978500252706831
54,8652861211457711962,4814248403794368229,7770889008689801672
55,4406239712912531581,991492602391286668,5955153136992306623
56,8351848295181528887,4179259089362121471,4810324517944181232
57,4419186704093052659,665136257661987340,7289038212450401189
58,430805009019594084,8302085593028935108,1540317703478383118
59,8775648133435556376,1930117554282035842,914312857956948851
60,7600530406458743097,2655589255481352614,4298602954634572326
61,8470581676111869627,2488562094171731882,2682399165670896145
62,7387831604355255907,5419444248820197101,3949978920690702181
63,2804707742786595264,7574513897674003970,4287540927982331383
64,7014342676807404031,2578796828452566347,3370631106829638342
65,6209260904182508160,8654792987382515504,7505132055859297617
66,3283939963560653434,6900323869735266377,3760768612208496667
67,1454759712602742153,8768676090037096307,6379988903172743579
68,80531075679171939,1523449684360172525,5924773162807123104
69,8965581746195571905,748296581115174010,3854241373715814737
70,8316043418676178596,653479736254799880,3320813863937199217
71,5744254744903895728,5057941271952091161,1297330788839153123
72,5506147244105268143,5359526759181339671,5299284675592857163
73,3688105738870978362,7993703842977433277,3529220711337564861
74,3833075934031679920,5002408946360385715,7091097556836851846
75,3341250417142388735,5200661704044636741,8359236260590747507
76,7178692387361877807,8751994393587736286,4787630972366093835
77,2900481358209110494,3981131565900152195,2013503873783741724
78,3790908051711556900,4831574426384161282,7284505897831466050
79,2783282253600910249,6187204353484043071,2393388121308284820
80,775763245882490236,8282418167798594192,8672247590032412729
81,4789438128127100990,5738822073749489000,8641393597497260151
82,8591582588061802354,3333817274068916196,4635592563334736104
83,6658740491131649595,523366787916678514,353579063029547677
84,6781181559764450680,6274014117197691359,2220929711633516410
85,3212816492807120474,3613127622717474436,2229281453917708423
86,7970319527618630694,1091137522678070090,3518164221875524372
87,7186559169614546686,820130882960318611,1505291345116644084
88,1574229224248309918,8290349446084250693,1358110563486024659
89,542655500849949628,3266592314172423906,5024774757856009353
