vid,x,y,z
0,9000000000000000000,9000000000000000000,9000000000000000000
1,0,0,9000000000000000000
2,4199441417298654098,5874464935023024348,1685529842202375907
3,543076406677129133,1671646594390225624,2989705501498037703
4,7371161104148083022,7459950107768238667,2540146246360142309
5,1381940006267093410,8930944459652493095,6742019432678071242
6,461681598151103914,8303269156573261804,3412818318377720048
7,308570290284738203,8574826112881113807,6710160522064018919
8,4351181031996151335,4135132388467870762,8690070134737729941
9,8514606953568448430,4066086893156734539,5286133708429678630
10,8909359834848333770,4762870306326015881,8397610664384022003
11,8383118689316043166,2935124424595355020,3596744426965018838
12,7474082015361177369,6978156839872720872,178970294942915948
13,28436561881940497,2396277994077532772,6650566419040672042
14,6761374307007678053,4514957453390546783,839492024107136976
15,8481089247458505619,1749227344278287850,7210347814374777064
16,8347056325407877546,7094275079957584451,679547584540367579
17,6903453616633455213,5570650442107194865,3677366732227866741
18,1447942262336974947,2301718591353460337,5890180196193584649
19,6061995161986379264,4284820408224656336,1660077171971124490
20,8270954599790476978,781118038935034937,4211812458964908599
21,150143329418517954,5758099653741419653,1127260041399714160
22,8981980954625440328,3395357420384286407,755060787223653445
23,6596750295942974057,1014579008796435753,2971037229478844193
24,1025375328357338054,7291098247701042171,1806649678105513438
25,4753961802580814298,8075296112975267199,4666913133842740613
26,7099246734595898169,7452457212847982412,5926050055183325451
27,4469123982473985776,2614588166857616934,5194958531568597820
28,703943557333580469,6745848678004114147,1952217146359149921
29,4133047196914828476,2062854480439663380,4491944059895278022
30,7571936827222637450,5416356486756033516,7275368028199192599
31,5144721203189947075,3527391843753349407,8575879092877540931
32,1768981093015814047,7778590246577403333,7927166168465593087
33,8324918267015413609,7417389614215388075,7466279242240048101
34,1432593086797856429,5695539519430926406,4011082153780080282
35,6742019388329028802,8088348428890931710,6646190456174444758
36,6772428342096379782,138705195261976897,3402736460563443695
37,4849900796358047972,2989854504991052023,5270233256036304160
38,2775684191145003039,4890254575925694083,7306469605727748829
39,3254738850926249345,3610097670272016205,5720925869288188147
40,4319560678200921163,6621051983848357286,1181168479196960613
41,1681847537558345771,5451490867113612722,2103501542897783915
42,3178315482905146817,2389975830948668553,2209811492331274294
43,5212861360950873618,1036601448521851616,1248581635128737640
44,3461789919449475884,4669451807704452650,2014502959489657558
45,3698522072498468396,4391986594584192611,2016436471531964108
46,7905892490733571056,2468084254533418720,8820194348536537380
47,2784087061522231264,734954797504772106,4415810572337914191
48,4203376065805052384,1723089351854034520,4228995398593111801
49,5533070066874182668,8853766567352083989,5985465499965635047
50,77746636176393108,3921222622981522835,4776746360423899632
51,8074558885512065920,906124618216071912,7017285024323695912
52,7513724425601369834,541407467457483967,6884706455487154612
53,6526108643582139496,7659280939347170479,6293566254653999617
54,577001939689713062,7193769758935767777,229941990911368743
55,8043973763261123656,5020634711666398888,4830396005155160315
56,3002354202295230070,7830046326958545166,5931398602370921331
57,5142707632699291213,8932470813715876173,1410919542795773094
58,2790867166212715941,4659069065462403870,7380487850843881236
59,130772983402947959,7623210977620663263,6497391396836574937
60,4586043600382051338,267591924300544315,2521403048846946802
61,1067815598387688930,7275135213155056932,3425794995367230479
62,4017746517121974914,1522840708506476982,6921430215501942928
63,6852281348659529856,5314743000300218946,8973773633397412258
64,3308614796703460511,3069059324368877228,2971500272416346213
65,8304834942316944435,7144926217520895344,4842009852471537081
66,4885103604068213658,6844772497576541859,4508015291320405068
67,6344233334130285635,6871408453233909332,5064057258683933283
68,4974655408439598123,2820853235349137640,6540520369837616329
69,4520870016966244755,457551084297592723,799044441754148196
70,4059785984197004869,2666450716007957931,4942831915263793908
71,5573806936498962154,1130378985015523475,3995404411698991010
72,746131322744267055,4136986214260036735,5280604745246957355
73,7552966885468810783,7897651215242611875,5199967177610133657
74,231775583888559387,1965808752601034895,4661626665603361498
75,1107042028283767010,404280613545884024,6675188929953840858
76,2881627619072687664,5291569558953330832,343936168168435456
77,3601854462407516993,512258199269837940,8350646869869610624
78,7412062675297903908,7260541621753387638,1410599749962678771
79,6478161359802756214,415320603022501463,5004725056895548311
80,1427093948985490823,3963527843194870870,5196339931866107430
81,6432797175043627563,4635765077394316927,1018030116392272630
82,2611287751743398226,8509074109712663143,156039974945220322
83,7603097554865377871,8238406238295665678,1479735583990009196
84,8269484422207607472,1680770408225133162,621992716935025255
85,4115503850223248971,2925411562227755503,4823131102649473948
86,11032779451388234,2580443674057051986,8527072147629670638
87,332368910144974719,2474040494453574393,5821089054586674044
88,1228685697023575446,8644382003497770006,7170681949688218229
89,5221820393013764680,1169297733416131973,1340858028163594031
90,2006492739064276504,764935770855668412,7133349580110207231
91,8098826703820327265,700790196260135178,8480876207277001827
92,7627084935615093610,7866898500128178453,702170454786812487
93,2812818662012819871,3359775824676865487,8335820824679507
94,4083965579220004603,1233969943084057549,5186541069457328619
95,1902456311247149205,6310763977380290455,348321282324863361
96,3753809608359967420,1251209019475922804,3943462457335104685
97,5284419768152272161,8069143638773302212,8082352021644123245
98,2273098696744427123,2973701104754558460,5209665526031143592
99,1662241090307724566,3747117011410119059,6418414782014515782
