sequence_id,t,airflow_flatness,spo2_drop,resp_pause,body_motion,state
night-02,0,0.18,0.3,1.0,0.32,quiet
night-02,1,0.21,0.4,1.2,0.36,quiet
night-02,2,0.42,1.1,2.8,0.35,flow_limited
night-02,3,0.49,1.5,3.7,0.34,flow_limited
night-02,4,0.44,1.2,3.0,0.31,flow_limited
night-02,5,0.19,0.3,1.0,0.28,quiet
night-02,6,0.12,0.1,0.6,0.19,quiet
night-02,7,0.67,2.4,6.1,0.18,flow_limited
night-02,8,0.86,4.8,12.6,0.11,apnea
night-02,9,0.89,5.5,16.2,0.07,apnea
night-02,10,0.62,2.2,5.4,0.18,flow_limited
night-02,11,0.25,0.6,1.6,0.22,quiet
