sequence_id,t,airflow_flatness,spo2_drop,resp_pause,body_motion,state
night-01,0,0.11,0.1,0.4,0.18,quiet
night-01,1,0.13,0.0,0.6,0.12,quiet
night-01,2,0.16,0.2,0.7,0.20,quiet
night-01,3,0.39,0.9,2.4,0.22,flow_limited
night-01,4,0.46,1.3,3.1,0.26,flow_limited
night-01,5,0.58,1.9,4.6,0.21,flow_limited
night-01,6,0.84,4.4,11.8,0.10,apnea
night-01,7,0.91,5.1,15.7,0.08,apnea
night-01,8,0.88,4.7,13.2,0.09,apnea
night-01,9,0.52,1.8,4.2,0.24,flow_limited
night-01,10,0.31,0.7,1.9,0.29,flow_limited
night-01,11,0.15,0.2,0.8,0.17,quiet
night-01,12,0.10,0.0,0.5,0.15,quiet
